make,model,units_sold,avg_selling_price,avg_market_value,avg_profit,avg_margin_pct
Bentley,Continental Supersports,1,101000,115000,-14000,-13.86
Bentley,Flying Spur,2,154000,162000,-8000,-5.21
BMW,i8,9,154222.22,160777.78,-6555.56,-4.23
land rover,rr,2,47200,53750,-6550,-14.09
Mercedes-Benz,SLS AMG,3,116016.67,121000,-4983.33,-4.5
Ferrari,F430,4,109750,113750,-4000,-3.46
Cadillac,ELR,5,40620,44400,-3780,-9.59
Bentley,Continental GTC,33,89380.3,93151.52,-3771.21,-4.31
Mercedes-Benz,SLS AMG GT,1,156500,160000,-3500,-2.24
Plymouth,Prowler,9,20688.89,24122.22,-3433.33,-39.22
kia,optima,1,2600,5750,-3150,-121.15
Chevrolet,Spark EV,2,11500,14550,-3050,-26.61
buick,lacrosse,1,6000,9050,-3050,-50.83
Mercedes-Benz,GLA-Class,2,32000,34650,-2650,-8.28
Fisker,Karma,9,46461.11,49100,-2638.89,-6.32
mercedes,g55,2,35875,38500,-2625,-6.62
audi,a6,2,24650,27100,-2450,-9.99
gmc truck,1500,1,1300,3750,-2450,-188.46
Mercedes-Benz,G-Class,65,82400,84836.92,-2436.92,-7.14
Porsche,Macan,8,60881.25,63275,-2393.75,-4.02
BMW,ActiveHybrid X6,5,27680,30040,-2360,-9.72
chevrolet,capt,3,15733.33,18050,-2316.67,-21.34
Nissan,NV Passenger,3,20966.67,23066.67,-2100,-15.09
Maserati,GranTurismo Convertible,13,76326.92,78384.62,-2057.69,-3.07
chrysler,300,4,7300,9306.25,-2006.25,-59.98
porsche,carrera,1,30200,32200,-2000,-6.62
Maserati,GranSport,2,32000,34000,-2000,-6.32
Ferrari,California,13,131846.15,133692.31,-1846.15,-1.64
GMC,Sierra 3500,10,16545,18390,-1845,-22.46
Audi,R8,38,89725,91500,-1775,-2.49
BMW,M6 Gran Coupe,15,91843.33,93600,-1756.67,-2.06
bmw,x3,1,5300,7050,-1750,-33.02
Audi,RS 4,3,26066.67,27800,-1733.33,-6.21
ford,expedit,2,1850,3525,-1675,-189.01
Lexus,RC F,5,64360,66000,-1640,-2.72
chevrolet,g1500,7,6971.43,8600,-1628.57,-25.35
toyota,pickup,2,950,2550,-1600,-180.82
Saturn,Aura Hybrid,5,3980,5480,-1500,-42.75
Chevrolet,Silverado 3500 Classic,3,15166.67,16616.67,-1450,-8.75
Volkswagen,Golf GTI,8,20956.25,22400,-1443.75,-8.66
bmw,alp,3,51700,53100,-1400,-2.86
porsche,911,18,30975,32362.5,-1387.5,-6.37
chrysler,crossfire,2,4700,6050,-1350,-30.62
Volkswagen,Jetta Hybrid,22,15761.36,17077.27,-1315.91,-9.65
chevrolet,aveo,1,5000,6250,-1250,-25
mercedes,e300dt,2,1550,2800,-1250,-275.23
mercedes,c240s,1,3500,4750,-1250,-35.71
kia,sportage,1,2900,4150,-1250,-43.1
Cadillac,CTS-V Coupe,35,38682.03,39931.43,-1249.4,-3.59
chrysler,pt,1,600,1825,-1225,-204.17
GMC,Sierra 2500HD Classic,20,18667.5,19882.5,-1215,-11.39
bmw,323i,1,10400,11600,-1200,-11.54
GMC,Sierra 1500 Hybrid,2,17100,18300,-1200,-7.48
Lexus,LS 600h L,4,24412.5,25600,-1187.5,-7.2
Cadillac,Fleetwood,1,350,1475,-1125,-321.43
