state,units_sold,total_revenue,avg_selling_price
al,26,237700,9142.31
ns,61,623000,10213.11
ok,72,498100,6918.06
nm,171,1075900,6291.81
ab,928,10367650,11172.04
or,1155,13350050,11558.48
hi,1237,15080050,12190.82
qc,1245,16549750,13292.97
ut,1836,22152489,12065.63
ms,1851,20812885,11244.13
la,2191,23052863,10521.62
pr,2725,25644350,9410.77
on,3442,61311050,17812.62
ne,4013,50455275,12572.96
sc,4251,43896558,10326.17
in,4325,46344850,10715.57
ny,5699,64823485,11374.54
ma,6729,45264250,6726.74
wa,7416,103419009,13945.39
co,7775,123449885,15877.8
az,8740,100910470,11545.82
mn,9429,129254486,13708.19
wi,9851,137948766,14003.53
md,11157,82670625,7409.75
va,12025,103111220,8574.74
nv,12685,191515238,15097.77
mi,15511,230900127,14886.22
mo,16013,231647138,14466.19
tn,20895,355418608,17009.74
oh,21575,310822810,14406.62
nc,21845,189198593,8660.96
il,23478,347290026,14792.15
nj,27784,378115350,13609.1
ga,34750,448927414,12918.77
tx,45913,606495361,13209.67
pa,53907,861234573,15976.3
ca,73148,1061077777,14505.9
fl,82945,1151064556,13877.44
