make,model,units_sold,avg_odometer,avg_selling_price,avg_market_value,avg_profit
Mercedes,Sprinter,1,191650.0,18300.0,18400.0,-100.0
Dodge,Ram3500,1,164140.0,20100.0,20200.0,-100.0
Lexus,Rx 330,8,158717.0,15143.75,8446.88,6696.88
Mercedes-Benz,Sprinter,18,153514.0,19113.89,19008.33,105.56
Chevrolet,Silverado 3500 Classic,2,153230.0,17750.0,19400.0,-1650.0
Acura,Zdx,1,152021.0,20600.0,23300.0,-2700.0
Chevrolet,Silverado 3500hd,38,150380.0,21613.16,22464.47,-851.32
Lexus,Lx,17,146189.0,17961.76,18170.59,-208.82
Dodge,Sprinter Cargo,17,146063.0,14885.29,13411.76,1473.53
Gmc,Sierra 3500,7,144346.0,16385.71,18114.29,-1728.57
Mercedes,G55,1,143877.0,32750.0,32300.0,450.0
Gmc,Sierra 2500hd Classic,13,143620.0,19200.0,20700.0,-1500.0
Toyota,Land Cruiser,19,143605.0,18494.74,18457.89,36.84
Lexus,Ls 430,7,141724.0,14764.29,10900.0,3864.29
Ford,F150,2,140836.0,16700.0,16100.0,600.0
Dodge,Ram Pickup 3500,92,139982.0,19133.15,18877.17,255.98
Ford,E-Series Wagon,1,139142.0,14500.0,15850.0,-1350.0
Dodge,Ram Pickup 2500,162,138827.0,18287.5,18184.57,102.93
Gmc,Sierra 3500hd,13,138180.0,23119.23,25050.0,-1930.77
Dodge,Sprinter,1,137668.0,14200.0,14600.0,-400.0
Gmc,Sierra 2500hd,113,137121.0,19183.63,19921.46,-737.83
Lexus,Is F,1,136629.0,25750.0,27800.0,-2050.0
Ram,3500,42,136073.0,24365.48,26221.43,-1855.95
Chevrolet,Silverado 2500hd,233,134676.0,18985.62,18725.21,260.41
Mercedes-Benz,Glk-Class,13,134411.0,15973.08,15826.92,146.15
Chevrolet,Silverado 2500hd Classic,23,133995.0,19515.22,19621.74,-106.52
Gmc,Sr,1,133947.0,14000.0,14850.0,-850.0
Mini,Cooper Countryman,1,133848.0,14200.0,15950.0,-1750.0
Ford,F250,1,132805.0,17600.0,16500.0,1100.0
Honda,Accord,2,132605.0,15900.0,15950.0,-50.0
Chevrolet,Silverado 3500,5,131123.0,19320.0,17750.0,1570.0
Toyota,Tundra,132,129780.0,17177.65,17413.83,-236.17
Ford,F-250 Super Duty,446,129769.0,19833.07,19547.03,286.04
Toyota,Sequoia,47,129765.0,19640.43,19706.91,-66.49
Subaru,Impreza,6,129196.0,15050.0,13379.17,1670.83
Ford,F-350 Super Duty,276,129146.0,19690.76,19635.24,55.53
Ford,Expeditn,1,129020.0,13900.0,10700.0,3200.0
Infiniti,Fx50,2,128814.0,16600.0,16450.0,150.0
Hummer,H2 Sut,26,128699.0,19386.54,17863.46,1523.08
Lexus,Ls 460,116,128400.0,17481.38,17652.16,-170.78
Infiniti,G37,1,128131.0,14200.0,11050.0,3150.0
Ford,Expedition,41,127992.0,16546.34,16784.15,-237.8
,,227,127480.0,16727.97,16289.1,438.88
Lexus,Rx 450h,9,126904.0,18544.44,17933.33,611.11
Volkswagen,Touareg,3,126120.0,17133.33,17683.33,-550.0
Mercedes,G500,1,125722.0,24000.0,23600.0,400.0
Bmw,M6,1,125032.0,16000.0,24200.0,-8200.0
Audi,A8,4,124855.0,18475.0,22637.5,-4162.5
Gmc,Sierra 1500 Classic,3,124593.0,14500.0,14100.0,400.0
Toyota,Tacoma,21,124523.0,18085.71,20119.05,-2033.33
Honda,Cr-V,24,124275.0,14966.67,14022.92,943.75
Lincoln,Mks,1,124268.0,14600.0,20000.0,-5400.0
Toyota,Highlander,69,124068.0,16437.68,16078.26,359.42
Cadillac,Escalade Esv,168,123571.0,17983.63,18061.31,-77.68
Toyota,4runner,98,123343.0,21950.41,21117.6,832.81
Toyota,Venza,17,122989.0,14817.65,13423.53,1394.12
Cadillac,Escalade Hybrid,8,122810.0,18837.5,19406.25,-568.75
Lexus,Gx 470,49,122659.0,17510.2,17650.0,-139.8
Gmc,Yukon Xl,168,122552.0,16865.48,16240.77,624.7
Lexus,Lx 570,14,122468.0,35546.43,35378.57,167.86
Volvo,Xc90,1,122059.0,16900.0,15800.0,1100.0
Landrover,Range,1,121978.0,17750.0,15750.0,2000.0
