seller,units_sold,avg_selling_price,avg_market_value,avg_profit
european motor sports inc,1,84500.0,116000.0,-31500.0
roz auto salvage inc,1,11000.0,35500.0,-24500.0
sfim auto sales & services,1,1700.0,26100.0,-24400.0
remarketing by ge/south texas fun center,1,18200.0,36500.0,-18300.0
manheim dallas fort worth,1,21900.0,38600.0,-16700.0
ean holdings,1,13000.0,29300.0,-16300.0
auto point,1,5000.0,21100.0,-16100.0
south regional financial llc,1,28000.0,43900.0,-15900.0
s & s auto discount,1,9400.0,25300.0,-15900.0
world wide investments llc,2,1650.0,15700.0,-14050.0
champion motors inc,1,11500.0,25300.0,-13800.0
ride share systems llc/dba dollar rent a car,1,4500.0,17800.0,-13300.0
jet stream fcu,1,15000.0,27900.0,-12900.0
royal blue auto inc,1,20000.0,32900.0,-12900.0
maysalah corp,1,9100.0,21800.0,-12700.0
maserati north america inc,2,43625.0,55900.0,-12275.0
global acceptance auto inc,1,3200.0,15400.0,-12200.0
auto junction inc,2,47500.0,59350.0,-11850.0
three some auto sales,1,1500.0,13250.0,-11750.0
hub hyundai west,1,400.0,12050.0,-11650.0
the showroom,1,7800.0,19300.0,-11500.0
chrysler on nicholasville,1,13300.0,24400.0,-11100.0
farm bureau insurance,1,11800.0,22900.0,-11100.0
avis rac/orlando,3,8766.67,19750.0,-10983.33
avis rac/los angeles,5,12030.0,22960.0,-10930.0
cook volkswagen llc,1,13500.0,24300.0,-10800.0
county & municipal employees credit union,1,2100.0,12650.0,-10550.0
exclusive auto brokers llc,1,2250.0,12350.0,-10100.0
oceanside auto,1,10150.0,20200.0,-10050.0
avis rac/salt lake city,2,16350.0,26275.0,-9925.0
fiore toyota scion volkswagen audi,1,15000.0,24900.0,-9900.0
puerto rican cars inc,2,1850.0,11675.0,-9825.0
best auto sales inc,2,4750.0,14512.5,-9762.5
millenium & associates inc,1,550.0,10250.0,-9700.0
pm worldwide rent a car,1,64500.0,74000.0,-9500.0
sleepy hollow chrysler dodge jeep inc,1,18800.0,28300.0,-9500.0
