sale_year,body_type,units_sold,avg_selling_price
2014,SEDAN,23023,10092.07
2014,SUV,13620,13383.93
2014,HATCHBACK,2394,8998.43
2014,MINIVAN,2348,8830.27
2014,COUPE,1963,12258.83
2014,WAGON,1730,7808.59
2014,CREW CAB,1474,18184.59
2014,CONVERTIBLE,1097,15209.19
2014,SUPERCREW,705,18350.14
2014,EXTENDED CAB,571,8263.97
2014,G SEDAN,555,20574.21
2014,SUPERCAB,524,9595.11
2014,REGULAR CAB,458,6179.75
2014,VAN,440,9593.58
2014,QUAD CAB,437,11966.88
2014,G COUPE,127,23007.48
2014,E-SERIES VAN,119,17369.75
2014,DOUBLE CAB,119,21465.55
2014,KING CAB,69,7791.3
2014,CREWMAX CAB,56,25311.61
2014,ACCESS CAB,35,12140.0
2014,GENESIS COUPE,31,14133.87
2014,CLUB CAB,30,4240.0
2014,G CONVERTIBLE,22,25206.82
2014,KOUP,15,8960.0
2014,CTS COUPE,12,22958.33
2014,G37 CONVERTIBLE,8,20331.25
2014,XTRACAB,7,6385.71
2014,Q60 COUPE,6,29266.67
2014,ELANTRA COUPE,5,13540.0
2014,Q60 CONVERTIBLE,5,35060.0
2014,CTS-V COUPE,5,41050.0
2014,CTS WAGON,4,16875.0
2014,TSX SPORT WAGON,2,18850.0
2014,G37 COUPE,2,14000.0
2014,MEGA CAB,2,34700.0
2014,CAB PLUS,2,2950.0
2014,BEETLE CONVERTIBLE,1,18500.0
2014,PROMASTER CARGO VAN,1,21400.0
2014,CAB PLUS 4,1,7900.0
2015,SEDAN,218309,11887.88
2015,SUV,130224,16401.65
2015,HATCHBACK,23843,10150.89
2015,MINIVAN,23181,11846.2
2015,COUPE,15789,16383.97
2015,CREW CAB,14920,21991.32
2015,WAGON,14398,10402.97
2015,CONVERTIBLE,9379,18148.23
2015,SUPERCREW,8328,22415.7
2015,G SEDAN,6862,19892.18
2015,SUPERCAB,4787,13126.33
2015,REGULAR CAB,4392,10577.15
2015,VAN,4088,14353.27
2015,EXTENDED CAB,3936,11433.84
2015,QUAD CAB,3658,14384.61
2015,E-SERIES VAN,1704,19231.4
2015,DOUBLE CAB,1482,23297.99
2015,G COUPE,1466,22388.37
2015,CREWMAX CAB,509,26585.56
2015,KING CAB,463,9713.73
2015,G CONVERTIBLE,301,26338.87
2015,GENESIS COUPE,263,15954.18
2015,ACCESS CAB,259,13668.34
2015,KOUP,165,9760.0
2015,CLUB CAB,148,4938.58
2015,CTS COUPE,146,22982.88
2015,MEGA CAB,109,28861.01
2015,ELANTRA COUPE,98,12191.33
2015,BEETLE CONVERTIBLE,58,18107.76
2015,PROMASTER CARGO VAN,58,22865.52
2015,Q60 CONVERTIBLE,37,36782.43
2015,XTRACAB,37,5650.0
2015,TSX SPORT WAGON,34,18682.35
2015,CTS-V COUPE,30,38287.37
2015,Q60 COUPE,30,29740.0
2015,TRANSIT VAN,19,23823.68
2015,REGULAR-CAB,15,17466.67
2015,GRANTURISMO CONVERTIBLE,13,76326.92
2015,G37 CONVERTIBLE,12,20075.0
2015,CTS WAGON,10,17780.0
2015,G37 COUPE,10,15835.0
2015,CAB PLUS 4,5,8400.0
2015,CAB PLUS,2,2700.0
2015,RAM VAN,1,1200.0
2015,CTS-V WAGON,1,50500.0
