seller,sale_year,units_sold,total_revenue,avg_profit
1 cochran of monroeville,2014,11,96350.0,22.73
1 cochran of monroeville,2015,241,1497700.0,-14.94
1 for all auto sales,2014,1,5600.0,950.0
101motors,2015,1,3750.0,-50.0
1360250 alberta ltd,2015,1,24000.0,6050.0
1360250 alberta ltd.,2015,1,3000.0,-2750.0
138 auto inc,2015,1,10600.0,-2200.0
1428879 alberta ltd,2015,1,10200.0,-3800.0
143 auto sales inc,2015,8,62300.0,-771.88
1479582 alberta ltd.,2015,6,41550.0,125.0
1491081 alberta inc.,2015,4,58400.0,-5262.5
1555357 alberta limited,2015,1,2300.0,150.0
1582529 alberta ltd,2015,1,7600.0,800.0
159191 canada inc,2014,1,22500.0,-200.0
159191 canada inc,2015,133,2451550.0,-988.53
1764175 alberta ltd,2015,1,3200.0,2100.0
1770144 alberta ltd,2015,1,2100.0,225.0
1813477 alberta ltd,2015,3,21500.0,-3133.33
1814099 alberta ltd,2015,19,219700.0,-1639.47
1995 first avenue station,2014,2,6600.0,437.5
1solution auto network llc,2015,1,18250.0,-1350.0
1st advantage fcu,2015,7,73800.0,-807.14
1st canadian auto sales & service,2015,4,39250.0,-2481.25
1st capital finance,2015,1,400.0,-200.0
1st choice auto sales,2015,1,4300.0,-1125.0
1st choice automotive corp,2014,1,11800.0,1700.0
1st choice automotive corp,2015,7,49300.0,571.43
1st choice credit union,2015,1,10000.0,-100.0
1st choice money center,2015,2,900.0,-1625.0
1st class auto,2015,1,3300.0,-1400.0
1st class imports llc,2014,1,10800.0,-2100.0
1st commercial,2014,5,35200.0,-2680.0
1st commercial,2015,2,31800.0,-4750.0
1st financial fcu,2015,1,8600.0,175.0
1st gear auto inc,2015,1,17500.0,-8300.0
1st liberty fcu,2015,1,4200.0,-3600.0
1st liberty federal credit union,2015,1,12500.0,-650.0
1st mid america credit union,2014,1,12500.0,-1150.0
1st mid america credit union,2015,9,81200.0,-688.89
1st national bank of scotia,2014,2,5300.0,-2350.0
1st national bank of scotia,2015,7,88100.0,-835.71
1st security of st pete inc,2014,1,4150.0,75.0
1st source bank,2015,5,31100.0,-1610.0
2 fran-nick auto sales llc,2015,1,15100.0,-1850.0
2020 motors,2015,9,402250.0,1672.22
223 auto sales llc,2015,1,5100.0,75.0
22nd street motors inc,2014,1,5500.0,-550.0
22nd street motors inc,2015,29,284650.0,-162.93
231 car sales inc.,2014,4,115050.0,-212.5
231 car sales inc.,2015,52,1032300.0,1328.37
24-7 auto sales llc,2015,1,750.0,-1550.0
25th street auto sales,2014,1,4150.0,-2225.0
2626 5660 quebec inc,2015,9,63500.0,177.78
281 truck sales,2015,1,1000.0,-900.0
2842 2988 quebec inc,2015,2,8600.0,-275.0
2970 7528 quebec inc,2015,1,5600.0,875.0
2nd chance auto sales,2015,1,3700.0,1350.0
2rj auto enterprises llc,2014,2,25450.0,50.0
3 amigos auto sales  inc,2014,2,2700.0,262.5
3 d automotive  llc,2014,2,1600.0,50.0
3 dads auto,2014,1,600.0,-75.0
3 in one auto sales inc,2014,1,13195.0,-1055.0
3 in one auto sales inc,2015,3,42495.0,-2426.67
3 line motors llc,2015,1,6600.0,-125.0
300 auto,2014,1,13800.0,650.0
301 legacy auto llc,2014,1,600.0,-50.0
3117839 canada inc,2015,2,50000.0,-750.0
32 north auto sales,2014,1,2600.0,-1150.0
3242878 nova scotia company,2014,1,1150.0,-925.0
3242878 nova scotia company,2015,2,27800.0,-1850.0
335 corp,2014,1,800.0,-125.0
355 toyota,2015,134,397900.0,-340.86
360 motors inc,2015,5,56200.0,1015.0
3:16 auto sales,2014,2,2950.0,262.5
3:16 auto sales,2015,1,500.0,25.0
3lm motorsports inc,2014,2,6900.0,487.5
4 below auto sales & service llc,2015,2,950.0,-312.5
4 h auto sales llc,2015,1,2000.0,150.0
405 motors,2014,2,8500.0,-3862.5
410 exotic brokers llc,2014,1,2000.0,-1125.0
414 car mart,2014,1,16750.0,600.0
414 motor cars llc,2015,1,4000.0,-1300.0
44 auto mall sales  inc.,2014,1,2000.0,-2525.0
46 vans & trucks llc,2015,3,35700.0,-1075.0
460 auto sales,2015,1,18500.0,-1400.0
486236 alberta ltd,2014,1,3800.0,-325.0
486236 alberta ltd,2015,7,57000.0,-464.29
4jg stars auto sales llc,2015,1,500.0,-925.0
4x4 auto sales,2015,1,4000.0,1075.0
5 corners truck & auto inc,2015,1,4350.0,925.0
5 star auto,2015,1,1750.0,-1475.0
5 star auto sales,2015,1,1300.0,700.0
5 star loans,2015,5,15300.0,-240.0
5280 motorcars,2015,1,3500.0,-1025.0
611 car connection,2014,1,3200.0,-675.0
611 car connection,2015,6,10600.0,-58.33
639475 alberta ltd,2014,3,15000.0,-716.67
639475 alberta ltd,2015,1,12200.0,-800.0
66 auto sales,2015,1,25000.0,-700.0
67 auto sales,2015,1,8000.0,900.0
695 auto sales & service,2015,21,102050.0,9.52
7 & 6 auto sales,2014,2,21200.0,400.0
7 -11 autoplex,2015,1,2400.0,225.0
721740 alberta ltd,2014,2,28800.0,-2775.0
721740 alberta ltd,2015,4,43400.0,-18.75
760 auto couture,2015,1,2350.0,-650.0
778025 alberta ltd,2015,1,11000.0,-200.0
77th street depot federal credit union,2014,1,10800.0,-1950.0
800 loan mart,2014,29,89700.0,-1150.0
800 loan mart,2015,313,932050.0,-675.48
800cash247,2014,15,74650.0,576.67
800cash247,2015,15,116250.0,-63.33
84th street motors inc,2015,1,5100.0,775.0
888 motors,2014,3,30900.0,-900.0
888 motors,2015,5,79400.0,370.0
9026401 canada corporation,2014,1,500.0,-150.0
9044 6097 quebec inc,2015,1,1550.0,-325.0
9076 4754 quebec inc,2015,1,21000.0,400.0
9076 8326 quebec inc,2014,1,950.0,75.0
91 automotive west,2015,32,404350.0,1329.69
9109 4672 quebec inc,2015,2,21800.0,1287.5
911 sportscars,2015,1,38000.0,-2600.0
9128 8654 quebec inc,2014,1,1500.0,-25.0
9135 4795 quebec inc,2015,1,3800.0,-350.0
9179 4131 quebec inc,2015,1,2100.0,-50.0
9195 9023 quebec inc,2014,1,2600.0,-325.0
9207 5787 quebec inc,2014,2,8200.0,-1175.0
9209 0851 quebec inc,2014,4,80100.0,-1425.0
9209 0851 quebec inc,2015,60,1111050.0,-457.92
9219 6484 quebec inc,2015,1,1500.0,-925.0
924 auto corp,2014,5,114000.0,790.0
924 auto corp,2015,76,1694950.0,1219.08
9250 3002 quebec inc,2015,4,42600.0,225.0
9th avenue automotive,2015,1,13600.0,-2200.0
a & a auto and truck center inc,2014,2,32200.0,175.0
a & a auto and truck center inc,2015,3,59900.0,133.33
a & a auto sales,2014,1,10200.0,-600.0
a & a auto sales,2015,30,440200.0,811.67
a & a luxury auto sales inc,2015,1,2600.0,-1775.0
a & a motors inc,2014,1,2700.0,-1925.0
a & a quality services inc,2015,1,8100.0,-1950.0
a & b auto inc,2015,2,19600.0,325.0
a & b auto sales,2014,5,23500.0,-100.0
a & b auto sales,2015,3,21000.0,-475.0
a & c auto repair and sales,2014,1,5500.0,-300.0
a & c motors auto sales inc,2015,5,12700.0,-2885.0
a & h import,2014,4,41300.0,843.75
a & h import,2015,40,583050.0,1101.88
a & i auto,2015,1,3000.0,250.0
a & j auto sales & leasing inc,2014,1,6250.0,550.0
a & j motors inc,2015,1,1550.0,-425.0
a & k auto sales,2014,1,1350.0,150.0
a & l auto sales llc,2015,1,28800.0,6300.0
a & m auto sale,2015,1,7000.0,-175.0
a & m auto sales llc,2014,3,13700.0,-2541.67
a & m auto wholesalers llc,2014,1,2900.0,-650.0
a & m auto wholesalers llc,2015,2,15200.0,-1062.5
a & m finance,2015,1,700.0,-850.0
