sale_year,sale_month,sale_quarter,make,body_type,state,units_sold,total_revenue,avg_selling_price,total_profit,avg_margin_pct
2014,1,1,Ford,SUPERCREW,NY,2,54800.0,27400.0,-1200.0,-2.18
2014,1,1,Pontiac,COUPE,NC,1,600.0,600.0,-150.0,-25.0
2014,1,1,Jeep,,SC,1,4000.0,4000.0,-1025.0,-25.62
2014,1,1,Toyota,SEDAN,NC,1,1500.0,1500.0,-300.0,-20.0
2014,1,1,Kia,SUV,SC,1,18500.0,18500.0,-450.0,-2.43
2014,1,1,Hyundai,SEDAN,GA,4,62600.0,15650.0,4850.0,7.75
2014,1,1,Buick,SEDAN,NC,1,1250.0,1250.0,-500.0,-40.0
2014,1,1,Bmw,COUPE,NC,1,15000.0,15000.0,4150.0,27.67
2014,1,1,Dodge,QUAD CAB,NC,1,1500.0,1500.0,-1225.0,-81.67
2014,1,1,Ford,SUPERCAB,NC,1,2500.0,2500.0,700.0,28.0
2014,1,1,Ford,HATCHBACK,SC,1,1800.0,1800.0,-150.0,-8.33
2014,1,1,Lexus,SEDAN,MI,1,9900.0,9900.0,125.0,1.26
2014,1,1,Chevrolet,VAN,PA,1,4000.0,4000.0,-850.0,-21.25
2014,1,1,Honda,SEDAN,SC,1,3100.0,3100.0,925.0,29.84
2014,1,1,Infiniti,SEDAN,SC,1,1200.0,1200.0,-2600.0,-216.67
2014,1,1,Mercedes-Benz,SEDAN,NC,1,3600.0,3600.0,-2350.0,-65.28
2014,1,1,Ford,SUV,NV,1,450.0,450.0,-5100.0,-1133.33
2014,1,1,Ford,SUPERCAB,SC,3,24800.0,8266.67,6175.0,22.46
2014,1,1,Chevrolet,SUV,SC,4,36800.0,9200.0,1900.0,16.51
2014,1,1,Nissan,SEDAN,SC,3,23600.0,7866.67,-2325.0,-8.17
2014,1,1,Ford,MINIVAN,CO,1,21800.0,21800.0,-400.0,-1.83
2014,1,1,Ford,,MO,1,7200.0,7200.0,3200.0,44.44
2014,1,1,Ford,,NC,1,4000.0,4000.0,-675.0,-16.88
2014,1,1,Porsche,SUV,CA,1,11750.0,11750.0,800.0,6.81
