make,min_price,avg_price,max_price,avg_market_value,avg_profit
Rolls-Royce,140000.0,153488.24,171500.0,154294.12,-805.88
Ferrari,81000.0,127210.53,183000.0,129210.53,-2000.0
Lamborghini,107000.0,112625.0,117500.0,111500.0,1125.0
Bentley,22700.0,74367.67,163000.0,75928.45,-1560.78
Airstream,71000.0,71000.0,71000.0,29500.0,41500.0
Tesla,49250.0,67054.35,85750.0,67813.04,-758.7
Aston Martin,38300.0,54812.0,103000.0,53560.0,1252.0
Fisker,37000.0,46461.11,54500.0,49100.0,-2638.89
Maserati,1200.0,44947.06,95000.0,45680.15,-733.09
Lotus,40800.0,40800.0,40800.0,40300.0,500.0
Porsche,1250.0,39842.94,157000.0,40108.4,-265.46
Land Rover,200.0,31617.81,135000.0,31920.44,-302.63
Ram,3000.0,25299.94,54000.0,25528.32,-228.38
Mercedes-Benz,1.0,21590.57,173000.0,21940.22,-349.65
Bmw,100.0,21474.03,165000.0,21608.2,-134.17
Infiniti,200.0,20417.46,75000.0,20505.1,-87.64
Lexus,200.0,20213.99,81000.0,20297.93,-83.94
Audi,150.0,19910.83,120000.0,20075.45,-164.61
Jaguar,250.0,19782.52,95250.0,20135.76,-353.24
Gmc,200.0,16923.4,66000.0,17028.46,-105.05
Lincoln,200.0,16839.7,59000.0,17056.15,-216.45
Hummer,3600.0,15269.49,50000.0,15016.86,252.62
Subaru,250.0,15245.86,37600.0,15333.39,-87.53
Cadillac,150.0,15072.47,83000.0,15191.72,-119.25
Jeep,200.0,14952.74,61000.0,15072.02,-119.28
Ford,1.0,14496.12,230000.0,14688.58,-192.46
Acura,200.0,13983.6,47800.0,14043.24,-59.64
Vw,500.0,13672.92,25000.0,13847.92,-175.0
Mercedes-B,8800.0,13650.0,18500.0,14100.0,-450.0
Mini,1100.0,12313.66,34750.0,12412.31,-98.65
Toyota,150.0,12237.65,68900.0,12347.14,-109.49
Chevrolet,100.0,11939.36,88250.0,12110.9,-171.54
Kia,150.0,11806.18,42750.0,11944.79,-138.61
Nissan,100.0,11731.56,86400.0,11859.55,-127.99
Landrover,2200.0,11516.67,20000.0,11319.44,197.22
Volvo,200.0,11463.95,34700.0,11573.32,-109.36
Dodge,100.0,11164.07,51700.0,11373.09,-209.01
Chrysler,100.0,11068.15,41000.0,11316.01,-247.86
Hyundai,100.0,11003.27,55000.0,11224.63,-221.36
Honda,200.0,10905.41,37000.0,10967.0,-61.59
Buick,100.0,10709.56,41000.0,10896.49,-186.93
Fiat,2000.0,10367.49,22500.0,10535.84,-168.35
Mazda,200.0,10050.08,35000.0,10173.99,-123.9
Scion,800.0,9578.81,24100.0,9672.75,-93.94
Volkswagen,200.0,9368.68,42800.0,9518.81,-150.14
,100.0,8965.74,86000.0,9051.84,-86.1
Mitsubishi,100.0,8185.24,34400.0,8303.69,-118.44
Mercedes,200.0,7471.43,39000.0,7581.43,-110.0
Plymouth,300.0,7287.96,26500.0,8437.96,-1150.0
Gmc Truck,300.0,6920.45,21425.0,6490.91,429.55
Mazda Tk,6500.0,6500.0,6500.0,5375.0,1125.0
Smart,1600.0,6236.87,11000.0,6354.61,-117.74
Suzuki,200.0,3907.35,14900.0,3892.16,15.19
Mercury,100.0,3907.27,18300.0,4072.58,-165.31
Pontiac,100.0,3752.23,30000.0,3948.1,-195.87
Saab,200.0,3628.1,17750.0,3768.65,-140.55
Saturn,150.0,3385.43,15050.0,3510.79,-125.36
Ford Tk,2800.0,2800.0,2800.0,3475.0,-675.0
Hyundai Tk,2100.0,2100.0,2100.0,1875.0,225.0
Chev Truck,2000.0,2000.0,2000.0,1925.0,75.0
Isuzu,1.0,1709.2,7900.0,1750.86,-41.66
Oldsmobile,200.0,939.45,5000.0,1087.11,-147.66
Dodge Tk,550.0,550.0,550.0,625.0,-75.0
Geo,150.0,528.95,1600.0,609.21,-80.26
Dot,500.0,500.0,500.0,850.0,-350.0
Ford Truck,350.0,483.33,700.0,550.0,-66.67
Daewoo,300.0,400.0,600.0,633.33,-233.33
