state,units_sold,total_revenue,avg_selling_price,avg_profit
FL,82945,1151064556.0,13877.44,-139.65
CA,73148,1061077777.0,14505.9,15.33
PA,53907,861234573.0,15976.3,-175.24
TX,45913,606495361.0,13209.67,-224.25
GA,34750,448927414.0,12918.77,-33.96
NJ,27784,378115350.0,13609.1,-519.21
TN,20895,355418608.0,17009.74,104.78
IL,23478,347290026.0,14792.15,-167.63
OH,21575,310822810.0,14406.62,-156.6
MO,16013,231647138.0,14466.19,-15.26
MI,15511,230900127.0,14886.22,-355.06
NV,12685,191515238.0,15097.77,49.16
NC,21845,189198593.0,8660.96,105.13
WI,9851,137948766.0,14003.53,-380.42
MN,9429,129254486.0,13708.19,-53.88
CO,7775,123449885.0,15877.8,44.45
WA,7416,103419009.0,13945.39,290.91
VA,12025,103111220.0,8574.74,-305.55
AZ,8740,100910470.0,11545.82,-225.64
MD,11157,82670625.0,7409.75,-606.35
NY,5699,64823485.0,11374.54,-972.67
ON,3442,61311050.0,17812.62,122.4
NE,4013,50455275.0,12572.96,-23.98
IN,4325,46344850.0,10715.57,-496.8
MA,6729,45264250.0,6726.74,-649.23
SC,4251,43896558.0,10326.17,-243.51
PR,2725,25644350.0,9410.77,-401.87
LA,2191,23052863.0,10521.62,-434.78
UT,1836,22152489.0,12065.63,-1027.69
MS,1851,20812885.0,11244.13,-498.85
QC,1245,16549750.0,13292.97,-267.45
HI,1237,15080050.0,12190.82,-919.34
OR,1155,13350050.0,11558.48,-192.55
AB,928,10367650.0,11172.04,-785.43
NM,171,1075900.0,6291.81,-1203.8
NS,61,623000.0,10213.11,-578.28
OK,72,498100.0,6918.06,-842.36
AL,26,237700.0,9142.31,-742.31
