condition_score,units_sold,avg_selling_price,avg_profit,avg_margin_pct
47,11363,21001.96,471.34,2.39
48,12712,21603.74,494.05,2.3
49,13099,22906.5,515.38,2.29
45,12313,20021.23,411.11,2.25
46,12634,20526.68,447.01,2.18
43,24937,18613.74,331.21,2.13
5,11222,24724.72,491.32,1.9
42,24328,17934.61,302.31,1.82
44,25514,19222.36,350.57,1.6
39,19920,15986.74,162.5,1.4
38,18723,15446.3,121.36,1.0
37,25938,14859.7,87.5,0.77
36,23144,14090.14,28.0,0.45
4,19922,17724.54,142.86,0.35
35,26750,13370.99,12.49,0.05
34,17397,12726.14,-59.0,-0.7
33,10619,12218.92,-92.9,-0.83
32,9962,11869.52,-119.63,-1.74
31,9222,11652.6,-163.28,-1.95
29,18928,10756.95,-314.03,-4.2
28,19177,10198.82,-364.08,-5.27
27,16350,9643.03,-438.66,-7.46
26,11911,9174.06,-513.96,-8.46
3,10802,12275.29,-366.89,-8.75
25,12559,8839.98,-593.32,-10.96
24,9326,8361.52,-652.71,-12.71
23,8188,8062.06,-722.45,-14.27
22,6057,7616.58,-799.94,-18.03
19,42276,5082.0,-1019.57,-35.68
15,144,3913.54,-1573.61,-77.18
17,243,4074.9,-1746.3,-82.21
11,87,4504.48,-1900.4,-83.89
41,23073,17333.67,266.36,-88.33
2,20790,5691.41,-1343.61,-92.01
21,9199,7330.6,-795.25,-98.65
18,323,4584.06,-1774.85,-102.11
16,178,4386.24,-1645.65,-106.88
13,82,3554.88,-1873.78,-111.04
12,95,3820.79,-1586.84,-113.98
14,134,3323.88,-1893.1,-115.4
1,7364,3923.14,-2704.49,-135.15
